Year,Force,HOMICIDE,Harassment,Kidnapping,TOTAL ROBBERY,Domestic burglary,Shoplifting,TOTAL THEFT OFFENCES,Arson,Criminal damage,TOTAL DRUG OFFENCES,TOTAL POSSESSION OF           WEAPONS OFFENCES,TOTAL  - ALL OFFENCES
2007,Cleveland,7,292,18,499,3548,5417,30837,759,16708,2357,474,66156
2007,Cumbria,3,135,8,52,834,2239,12534,355,11023,1584,267,34864
2007,Derbyshire,7,902,25,796,3764,3522,36652,650,17051,1930,499,76365
2007,Devon and Cornwall,24,857,26,540,4225,7212,49282,1070,27805,4202,680,109702
2007,Dorset,8,774,19,243,1739,3200,24415,472,11386,1678,357,50990
2007,Durham,8,292,17,181,2349,2475,20964,564,14055,1246,467,47356
2007,Dyfed-Powys,10,77,4,46,751,1490,9254,174,6457,2346,203,25153
2007,Essex,15,1279,40,1310,6144,9183,59069,920,25372,3971,1214,117404
2007,Gloucestershire,4,402,15,298,2297,3195,22173,363,9916,1477,267,45134
2007,Greater Manchester,49,1396,147,7433,21541,15800,150346,2600,62183,11790,2149,294468
2007,Gwent,11,282,22,252,2394,2824,21631,516,11922,2082,305,48089
2007,Hampshire,19,1652,54,1066,5300,12815,72627,1403,37159,5754,1066,162652
2007,Hertfordshire,8,518,21,758,4538,6169,41012,456,16821,3539,519,78414
2007,Humberside,11,538,23,1003,5460,7141,46962,1108,20859,3136,571,95425
2007,Kent,16,817,53,1151,6045,9605,64307,1027,30194,3524,821,129130
2007,Lancashire,22,990,34,966,4987,8518,56088,1167,31017,4277,979,122347
2007,Leicestershire,14,1884,56,1059,5138,5143,41943,696,17766,3335,543,86865
2007,Lincolnshire,12,146,7,166,2095,3144,24132,607,12698,1488,417,50299
2007,City of London City of,1,97,1,54,29,832,4755,12,221,847,58,7237
2007,Merseyside,33,556,55,1671,8365,8729,57319,1035,29625,12627,1122,125803
2007,Metropolitan Police,163,16346,546,37045,59841,34419,437389,2900,98716,72204,7833,846305
2007,Norfolk,8,189,13,286,1618,3760,25919,607,14143,2191,407,54764
2007,North Wales,8,373,16,134,1175,3215,16736,389,12508,2515,388,45092
2007,North Yorkshire,4,298,9,248,2372,3671,24700,324,10661,2158,310,49065
2007,Northamptonshire,8,593,22,876,3677,3738,33089,656,14170,1413,380,62595
2007,Northumbria,31,617,34,800,4984,8858,49527,1339,28229,4592,1274,108002
2007,Nottinghamshire,13,816,37,2052,9639,7324,67477,1089,25561,4262,803,123930
2007,South Wales,16,1209,42,828,6978,7339,63387,1176,26279,5758,818,122808
2007,South Yorkshire,28,1300,18,1283,8958,7845,76004,2011,33279,4342,847,144518
2007,Staffordshire,13,1040,25,711,4257,5580,41314,843,19459,3341,486,88196
2007,Suffolk,7,354,12,262,1762,3034,21935,548,11626,1884,352,47548
2007,Surrey,9,735,31,406,3568,3774,32493,416,15442,2607,425,67792
2007,Sussex,11,1784,43,899,4242,8042,54695,896,25656,6095,1138,117583
2007,Thames Valley,17,4569,89,2142,10945,11718,100482,1428,34313,7859,1120,193961
2007,Warwickshire,6,174,10,375,2373,1843,19524,296,8898,1359,228,39460
2007,West Mercia,11,778,24,532,3654,5679,38660,706,17921,2557,562,79000
2007,West Midlands,40,3619,136,7664,18040,14542,120322,1849,44407,9394,2465,245649
2007,West Yorkshire,45,1210,98,2989,18700,11181,119570,2457,48647,6006,1146,225893
2007,Wiltshire,10,169,15,343,1729,2545,21830,309,10606,717,160,43035
2008,Avon and Somerset,18,1106,53,2040,8613,11059,71744,1121,25258,5551,737,135706
2008,Bedfordshire,10,204,18,1014,4061,3248,25024,315,8391,1362,381,44761
2008,British Transport Police,3,67,14,870,5,1765,30725,173,8746,5864,871,64243
2008,Cambridgeshire,8,315,21,829,4183,4716,35682,579,12347,2577,331,63833
2008,Cheshire,12,465,15,581,3918,6225,38070,691,15679,2893,435,74292
2008,Cleveland,3,179,21,404,2909,5526,25363,583,13109,2636,439,54745
2008,Cumbria,4,142,12,50,799,2436,11823,291,8663,1556,245,30579
2008,Derbyshire,6,704,32,804,4129,4641,36661,606,15904,2029,467,72719
2008,Devon and Cornwall,11,679,39,511,4350,7154,45245,1014,24883,4524,803,101014
2008,Dorset,8,595,15,262,1822,3640,24275,429,10845,1739,317,49764
2008,Durham,7,247,11,170,2577,3296,21159,528,12448,1327,392,44750
2008,Dyfed-Powys,7,83,3,35,731,1506,8963,178,5720,2248,178,23688
2008,Essex,12,1137,30,1305,6888,9666,56093,828,22639,4766,1351,111316
2008,Gloucestershire,3,281,12,259,2292,3294,22227,259,8774,1853,300,43548
2008,Greater Manchester,44,1064,155,7065,23719,17149,144956,2419,57639,12038,1808,279622
2008,Gwent,11,245,26,220,2295,3173,23042,579,11564,2342,364,48494
2008,Hampshire,11,1265,65,1154,6028,13943,74066,1080,33997,5793,1033,157443
2008,Hertfordshire,6,473,20,759,4969,6807,39568,388,14527,4388,494,74131
2008,Humberside,12,437,18,773,5891,7427,44944,968,18141,2758,546,88537
2008,Kent,8,880,44,1015,5574,10863,58669,847,26696,3963,728,118942
2008,Lancashire,18,833,39,865,5114,8958,54749,981,28552,4521,883,116257
2008,Leicestershire,7,2096,79,1210,5526,5468,41705,567,16163,3334,481,84706
2008,Lincolnshire,7,123,13,198,2426,3718,24042,542,11663,1735,368,48882
2008,City of London City of,0,84,0,43,51,947,4527,1,273,765,39,6822
2008,Merseyside,28,595,48,1686,7858,8822,52605,900,24797,15102,1095,116989
2008,Metropolitan Police,155,17425,515,32555,59173,40105,420848,2616,91600,76539,7677,825037
2008,Norfolk,14,169,16,286,1598,3913,23118,492,12110,2193,380,48444
2008,North Wales,5,411,13,151,1469,3663,18126,327,11438,2652,374,45593
2008,North Yorkshire,6,157,10,247,2474,3880,25317,305,10431,1997,317,47940
2008,Northamptonshire,7,349,19,898,3939,4090,31475,633,13003,1532,449,58887
2008,Northumbria,14,559,19,732,4922,9363,48172,1152,25797,5166,1352,104017
2008,Nottinghamshire,12,756,53,2279,9457,7347,60561,954,23159,3781,848,114169
2008,South Wales,11,1076,28,809,5967,8133,57945,1065,25495,6084,807,115904
2008,South Yorkshire,23,1031,15,1184,8693,9024,69130,1516,28779,4851,876,128947
2008,Staffordshire,11,928,31,791,4255,5750,38867,769,18041,2862,441,83951
2008,Suffolk,1,350,22,271,1650,3226,20865,404,10872,2109,389,45811
2008,Surrey,7,581,22,415,3321,4583,31437,432,14147,2446,412,64130
2008,Sussex,11,1084,40,1034,4132,9164,52859,878,22659,4308,838,105815
2008,Thames Valley,13,4023,79,2365,11416,14268,101657,1459,32279,8089,1200,192276
2008,Warwickshire,5,148,12,334,2216,2141,20058,283,7706,1314,230,36952
2008,West Mercia,12,742,37,562,3866,6458,38315,612,16359,2649,578,76337
2008,West Midlands,51,3097,188,7820,16811,14521,109311,1613,40009,9630,2148,224854
2008,West Yorkshire,36,1035,104,2936,20900,12440,117613,2186,44306,6571,1025,215055
2008,Wiltshire,6,143,9,339,1444,3223,19979,264,9892,1099,235,40481
2009,Avon and Somerset,16,1032,56,1777,7662,11035,63181,1036,21791,5484,575,123742
2009,Bedfordshire,6,343,27,714,3429,3339,22360,323,7689,1381,360,41426
2009,British Transport Police,2,72,1,681,3,1724,28630,129,7449,5908,617,59548
2009,Cambridgeshire,5,449,26,702,3823,4719,31997,530,10930,2355,265,58995
2009,Cheshire,7,489,13,429,4136,5831,33470,516,13118,3026,341,66283
2009,Cleveland,6,166,14,286,2460,4732,21329,495,10625,2972,365,46898
2009,Cumbria,0,258,8,47,772,2428,10950,215,7160,1684,232,27808
2009,Derbyshire,2,820,20,840,3772,4574,32617,635,13897,2297,361,66960
2009,Devon and Cornwall,16,837,33,427,3620,6692,39437,783,21075,4993,605,91043
2009,Dorset,5,620,15,218,1842,3512,23793,397,9518,1718,248,47371
2009,Durham,10,221,11,160,2267,2866,19283,465,10322,1502,309,39935
2009,Dyfed-Powys,2,58,9,36,593,1552,8125,149,4779,2648,151,21896
2009,Essex,10,1138,33,1096,6849,9190,52860,776,19727,4056,1010,103221
2009,Gloucestershire,5,224,18,207,2453,3041,19530,243,7199,1775,226,37780
